0	1	0	0
0	1	1	1
0	1	2	2
0	1	3	3
1	2	0	0
1	2	1	1
1	2	2	2
1	2	3	3
1	2	4	4
1	2	5	5
1	2	6	6
1	2	7	7
1	2	8	8
1	2	9	9
1 	3	/	/
2	3	/	/

3	4	JAN	0
3	5	FEV	0
3	6	MAR	0
3	7	ABR	0
3	8	MAI	0
3	9	JUN	0
3	10	JUL	0
3	11	AGO	0
3	12 	SET	0
3	13	OUT	1



13	20	eps	0
3	14	NOV	1
14	20	eps	1
3	15	DEZ	1
15	20	eps	2
4	20	eps	1
5	20	eps	2
6	20	eps	3
7	20	eps	4
8	20	eps	5
9	20	eps	6
10	20	eps	7
11	20	eps	8
12	20	eps	9

20	21	/	/

21	22	2	2
22	23	0	0

23	24	0	0
23	24	1	1
23	24	2	2
23	24	3	3
23	24	4	4
23	24	5	5
23	24	6	6
23	24	7	7
23	24	8	8
23	24	9	9

24	25	0	0
24	25	1	1
24	25	2	2
24	25	3	3
24	25	4	4
24	25	5	5
24	25	6	6
24	25	7	7
24	25	8	8
24	25	9	9

25
